serial_no,C1,C2,C3,C4,C5,C6,C8,C7
219,219,219,17400,60,4.5,12,Closed,Healthy
220,220,220,44800,70,4.75,18,Closed,Healthy
221,221,221,17600,40,4.25,12,Closed,Healthy
222,222,222,0,0,NULL,NULL,,None
223,223,223,0,0,NULL,NULL,,None
224,224,224,15200,40,4.25,12,Closed,Healthy
225,225,225,14000,50,4.5,18,Closed,Healthy
226,226,226,14400,60,4.5,12,Closed,Healthy
227,227,227,20300,70,4.25,18,Closed,Healthy
228,228,228,13300,70,4.25,18,Closed,Healthy
229,229,229,26100,90,6.75,30,Closed,Healthy
230,230,230,21600,90,6.5,24,,Defaulted
231,231,231,24800,80,6.5,24,Closed,Healthy
232,232,232,24800,80,5.5,18,Closed,Healthy
233,233,233,20300,70,4.25,18,Closed,Healthy
234,234,234,9600,40,4.25,18,Closed,Healthy
235,235,235,9600,40,4.25,12,Closed,Healthy
236,236,236,11600,40,4.25,12,Closed,Healthy
237,237,237,16800,60,4.25,18,Closed,Healthy
238,238,238,24500,70,4.5,18,Closed,Healthy
239,239,239,51300,90,6.75,24,Closed,Healthy
240,240,240,6300,30,4,12,Closed,Healthy
241,241,241,21000,60,4.25,18,Closed,Healthy
242,242,242,14000,50,4.25,18,Closed,Healthy
243,243,243,24800,80,5.5,18,Closed,Healthy
244,244,244,23200,80,5.5,18,Closed,Healthy
245,245,245,12000,50,4.5,12,Closed,Healthy
246,246,246,14000,50,4.5,18,Closed,Healthy
247,247,247,12000,50,4.5,18,Closed,Healthy
248,248,248,24500,70,4.75,18,Closed,Healthy
249,249,249,13200,60,4.5,12,Closed,Healthy
250,250,250,14000,50,4.5,18,Live,Unhealthy
251,251,251,21000,60,4.75,12,Closed,Healthy
252,252,252,14000,50,4.5,18,Closed,Healthy
253,253,253,18600,60,4.5,18,Closed,Healthy
254,254,254,8400,30,4.25,12,Closed,Healthy
255,255,255,24500,70,4.75,18,Closed,Healthy
256,256,256,0,0,NULL,NULL,,None
257,257,257,0,0,NULL,NULL,,None
258,258,258,20300,70,4.75,12,Closed,Healthy
259,259,259,8400,30,4.25,12,Closed,Healthy
260,260,260,0,0,NULL,NULL,,None
261,261,261,12000,50,4.5,12,Closed,Healthy
262,262,262,26100,90,6.75,24,Closed,Healthy
263,263,263,16800,70,4.5,18,Closed,Healthy
264,264,264,19200,80,5.75,18,Closed,Healthy
265,265,265,26100,90,6.75,24,Closed,Healthy
266,266,266,8700,30,4.25,12,Closed,Healthy
267,267,267,0,0,NULL,NULL,,None
268,268,268,23200,80,7.25,30,Closed,Healthy
269,269,269,17600,80,7,24,Closed,Healthy
270,270,270,25200,90,7.25,24,Live,Healthy
271,271,271,21600,90,7,24,Closed,Healthy
272,272,272,26100,90,8.25,36,Live,Healthy
273,273,273,16800,80,5.5,18,Closed,Healthy
274,274,274,22400,80,5.75,18,Closed,Healthy
275,275,275,24800,80,6.75,24,Live,Healthy
276,276,276,22400,80,7,24,Live,Unhealthy
277,277,277,57600,90,9,30,Closed,Healthy
278,278,278,34200,90,8.75,42,Live,Unhealthy
279,279,279,15200,80,6.75,24,Closed,Healthy
280,280,280,23200,80,7.25,30,Closed,Healthy
281,281,281,14700,70,4.5,18,Closed,Healthy
282,282,282,19600,70,4.75,18,Closed,Healthy
283,283,283,51300,90,9.5,42,Live,Healthy
284,284,284,24800,80,7.25,24,Closed,Healthy
285,285,285,12600,60,4.5,18,Closed,Healthy
286,286,286,23200,80,6.75,24,Closed,Healthy
287,287,287,10500,50,4.25,18,Closed,Healthy
288,288,288,28000,80,7,30,Closed,Healthy
289,289,289,15400,70,5.5,24,Closed,Healthy
290,290,290,22400,80,5.75,18,Closed,Healthy
291,291,291,26100,90,6.75,24,Closed,Healthy
292,292,292,17600,80,5.5,18,Closed,Healthy
293,293,293,18600,60,4.5,18,Closed,Healthy
294,294,294,22400,80,6.75,24,Closed,Healthy
295,295,295,17400,60,4.5,18,Closed,Healthy
296,296,296,23200,80,5.75,18,Closed,Healthy
297,297,297,11400,60,4.5,18,Closed,Healthy
298,298,298,14700,70,4.5,18,Live,Healthy
299,299,299,31500,90,7,24,Closed,Healthy
300,300,300,23200,80,5.75,18,Closed,Healthy
301,301,301,31500,90,8,42,Closed,Healthy
302,302,302,25200,90,6.75,24,Closed,Healthy
303,303,303,31500,90,7,30,Closed,Healthy
304,304,304,16800,80,6.5,24,Closed,Healthy
305,305,305,13300,70,5.5,24,Closed,Healthy
306,306,306,26100,90,6.75,30,Closed,Healthy
307,307,307,51300,90,7.75,36,Closed,Healthy
308,308,308,57600,90,8,42,Live,Healthy
309,309,309,26600,70,5.5,30,Closed,Healthy
310,310,310,27900,90,5.5,18,Closed,Healthy
311,311,311,14400,60,4.25,18,Closed,Healthy
312,312,312,13200,60,4.25,18,Closed,Healthy
313,313,313,24500,70,4.5,18,Closed,Healthy
314,314,314,57600,90,7,24,Closed,Healthy
315,315,315,44800,70,4.75,18,Closed,Healthy
316,316,316,11200,40,4.25,18,Closed,Healthy
317,317,317,5600,20,4,12,Closed,Healthy
318,318,318,12600,60,4.25,12,Closed,Healthy
319,319,319,14500,50,4.25,18,Closed,Healthy
320,320,320,24500,70,5.5,24,Closed,Healthy
321,321,321,22400,80,6.5,24,Closed,Healthy
322,322,322,26600,70,4.75,18,Closed,Healthy
323,323,323,31500,90,6.75,30,Live,Unhealthy
324,324,324,21600,90,5.5,18,Closed,Healthy
325,325,325,14700,70,4.25,18,Closed,Healthy
326,326,326,13200,60,4.25,18,Closed,Healthy
327,327,327,23200,80,6.5,30,Closed,Healthy
328,328,328,19200,80,5.25,18,Closed,Healthy
329,329,329,51200,80,6.75,30,Closed,Healthy
330,330,330,57600,90,7,24,Closed,Healthy
331,331,331,27900,90,5.5,18,Live,Healthy
332,332,332,23200,80,6.5,30,Closed,Healthy
333,333,333,26100,90,6.5,30,,Defaulted
334,334,334,31500,90,6.5,30,,Defaulted
335,335,335,17600,80,5.25,18,Closed,Healthy
336,336,336,19600,70,4.25,18,Closed,Healthy
337,337,337,16800,70,4.25,18,Live,Healthy
338,338,338,19200,80,5.25,18,Closed,Healthy
339,339,339,28000,80,6.5,30,Closed,Healthy
340,340,340,31500,90,6.5,24,Closed,Healthy
341,341,341,57600,90,8,36,Live,Healthy
342,342,342,16800,70,5.25,24,Closed,Healthy
343,343,343,31500,90,5.5,18,Closed,Healthy
344,344,344,28000,80,5.5,18,,Defaulted
345,345,345,22400,80,6.25,24,Closed,Healthy
346,346,346,27900,90,5.5,18,Live,Healthy
347,347,347,19200,80,6.25,24,Closed,Healthy
348,348,348,17400,60,4.25,18,Closed,Healthy
349,349,349,34200,90,6.5,24,Closed,Healthy
350,350,350,28000,80,6.5,24,Closed,Healthy
351,351,351,28000,80,5.5,18,Live,Unhealthy
352,352,352,17600,80,5.25,18,Closed,Healthy
353,353,353,57600,90,8,42,Live,Healthy
354,354,354,34200,90,6.5,30,Closed,Healthy
355,355,355,0,0,NULL,NULL,,None
356,356,356,19600,70,5,18,Live,Unhealthy
357,357,357,19600,70,4.75,18,,Defaulted
358,358,358,21700,70,4.75,18,Closed,Healthy
359,359,359,21700,70,4.75,18,Closed,Healthy
360,360,360,11000,50,4.25,12,Closed,Healthy
361,361,361,24500,70,4.5,18,Closed,Healthy
362,362,362,51200,80,6.75,24,Closed,Healthy
363,363,363,19600,70,4.25,18,Closed,Healthy
364,364,364,21700,70,4.25,12,Closed,Healthy
365,365,365,8800,40,4.25,12,Closed,Healthy
366,366,366,12400,40,4.25,12,Closed,Healthy
367,367,367,20300,70,4.25,18,Live,Unhealthy
368,368,368,5800,20,4,12,Closed,Healthy
369,369,369,19200,80,5.5,18,Closed,Healthy
370,370,370,28000,80,5.75,18,Closed,Healthy
371,371,371,15500,50,4.5,18,Closed,Healthy
372,372,372,19600,70,4.5,18,Closed,Healthy
373,373,373,22400,80,5.25,18,Closed,Healthy
374,374,374,11600,40,4.25,18,Closed,Healthy
375,375,375,57600,90,7,24,Closed,Healthy
376,376,376,31500,90,7.75,42,Live,Healthy
377,377,377,31500,90,8.75,54,,Defaulted
378,378,378,26100,90,7.75,36,Closed,Healthy
379,379,379,26100,90,6.75,24,Closed,Healthy
380,380,380,31500,90,8.75,48,Live,Healthy
381,381,381,26100,90,7.75,36,Closed,Healthy
382,382,382,26100,90,7.75,36,Closed,Healthy
383,383,383,16800,80,6.5,30,Live,Healthy
384,384,384,26100,90,7.75,42,Live,Unhealthy
385,385,385,16800,60,4.25,18,Closed,Healthy
386,386,386,51300,90,6.75,30,Closed,Healthy
387,387,387,30400,80,5.5,18,Closed,Healthy
388,388,388,106200,90,8.75,42,,Defaulted
389,389,389,11400,60,4.25,12,Closed,Healthy
390,390,390,38400,60,5.75,30,Closed,Healthy
391,391,391,28000,80,5.5,18,Closed,Healthy
392,392,392,16800,70,4.25,18,Closed,Healthy
393,393,393,26600,70,4.5,18,Closed,Healthy
394,394,394,32000,50,4.5,12,Closed,Healthy
395,395,395,15500,50,4.25,12,Closed,Healthy
396,396,396,22000,50,4.25,12,Closed,Healthy
397,397,397,0,0,NULL,NULL,,None
398,398,398,24800,80,6.25,18,Closed,Healthy
399,399,399,34200,90,6.75,18,Live,Unhealthy
400,400,400,17500,50,4.5,18,Closed,Healthy
401,401,401,0,0,NULL,NULL,,None
402,402,402,17600,80,5.5,18,Live,Healthy
403,403,403,17600,80,6.5,24,Closed,Healthy
404,404,404,0,0,NULL,NULL,,None
405,405,405,57600,90,7,24,Closed,Healthy
406,406,406,11200,40,4.25,12,Closed,Healthy
407,407,407,51200,80,6.75,24,Live,Healthy
408,408,408,9500,50,4.25,12,Closed,Healthy
409,409,409,21700,70,4.25,18,Closed,Healthy
410,410,410,25200,90,7.75,36,,Defaulted
411,411,411,26100,90,7.75,36,,Defaulted
412,412,412,64000,100,10.5,60,Live,Healthy
413,413,413,34200,90,7.75,42,,Defaulted
414,414,414,16800,60,4.25,12,Closed,Healthy
415,415,415,57600,90,7,30,Closed,Healthy
416,416,416,14000,50,4.25,18,Closed,Healthy
417,417,417,23200,80,5.5,18,Closed,Healthy
418,418,418,21000,60,4.25,18,Closed,Healthy
419,419,419,14700,70,4.25,18,Closed,Healthy
420,420,420,5600,20,4,12,Closed,Healthy
421,421,421,0,0,NULL,NULL,,None
422,422,422,0,0,NULL,NULL,,None
423,423,423,0,0,NULL,NULL,,None
424,424,424,26100,90,6.75,30,,Defaulted
425,425,425,26100,90,6.75,30,,Defaulted
426,426,426,21600,90,7.75,36,,Defaulted
427,427,427,31500,90,6.5,24,Closed,Healthy
428,428,428,20300,70,4.25,18,Closed,Healthy
429,429,429,57600,90,8,36,Closed,Healthy
430,430,430,17400,60,4.25,18,Closed,Healthy
431,431,431,13200,30,4.25,12,Closed,Healthy
432,432,432,51200,80,6.75,24,Closed,Healthy
433,433,433,14400,60,4.25,12,Closed,Healthy
434,434,434,51200,80,6.75,24,Closed,Healthy
435,435,435,24500,70,4.5,18,Live,Unhealthy
436,436,436,0,0,NULL,NULL,,None
437,437,437,8700,30,4.25,12,Closed,Healthy
438,438,438,30800,70,4.5,18,Closed,Healthy
439,439,439,45600,80,5.75,18,Closed,Healthy
440,440,440,14500,50,4.5,18,Closed,Healthy
441,441,441,15400,70,4.5,18,Closed,Healthy
442,442,442,8400,30,4.25,12,Closed,Healthy
443,443,443,21000,60,4.5,12,Closed,Healthy
444,444,444,13300,70,4.75,18,Closed,Healthy
445,445,445,21700,70,5,18,Closed,Healthy
446,446,446,14500,50,4.5,18,Closed,Healthy
447,447,447,21700,70,4.75,18,Closed,Healthy
448,448,448,6600,30,4.25,12,Closed,Healthy
449,449,449,7600,40,4.25,12,Closed,Healthy
450,450,450,31500,90,7.75,36,,Defaulted
451,451,451,14400,60,5.25,24,Closed,Healthy
452,452,452,26100,90,6.75,24,Closed,Healthy
453,453,453,26100,90,6.75,30,Closed,Healthy
454,454,454,17100,90,6.5,24,Closed,Healthy
455,455,455,21600,90,6.5,24,Closed,Healthy
456,456,456,19200,80,6.5,30,Live,Healthy
457,457,457,27900,90,6.75,30,Closed,Healthy
458,458,458,16800,80,5.5,18,Closed,Healthy
459,459,459,23200,80,6.5,24,Closed,Healthy
460,460,460,19800,90,6.5,24,Closed,Healthy
461,461,461,26100,90,5.75,18,Closed,Healthy
462,462,462,17100,90,6.5,24,Live,Healthy
463,463,463,22400,80,6.25,24,Closed,Healthy
464,464,464,28000,80,6.5,24,Closed,Healthy
465,465,465,16800,70,4.25,18,Closed,Healthy
466,466,466,30800,70,5.5,24,Closed,Healthy
467,467,467,19200,80,5.25,18,Live,Healthy
468,468,468,27900,90,6.5,24,Closed,Healthy
469,469,469,17600,80,6.25,24,Closed,Healthy
470,470,470,23200,80,6.5,24,Live,Healthy
471,471,471,11200,40,4.25,12,Closed,Healthy
472,472,472,18600,60,4.5,12,Closed,Healthy
473,473,473,21000,60,4.75,18,Closed,Healthy
474,474,474,14000,50,4.5,12,Closed,Healthy
475,475,475,6300,30,4.25,12,Closed,Healthy
476,476,476,8400,30,4.25,12,Live,Unhealthy
477,477,477,19600,70,4.75,12,Closed,Healthy
478,478,478,14000,50,4.5,18,Closed,Healthy
479,479,479,0,0,NULL,NULL,,None
480,480,480,14000,40,4.5,18,Closed,Healthy
481,481,481,0,0,NULL,NULL,,None
482,482,482,16800,60,4.5,18,Closed,Healthy
483,483,483,6300,30,4.25,12,Closed,Healthy
484,484,484,16800,60,4.5,12,Closed,Healthy
485,485,485,0,0,NULL,NULL,,None
486,486,486,10500,50,4.25,12,Closed,Healthy
487,487,487,0,0,NULL,NULL,,None
488,488,488,38400,80,8,24,Live,Unhealthy
489,489,489,11400,60,4.5,18,Closed,Healthy
490,490,490,22400,80,6,18,Closed,Healthy
491,491,491,14700,70,4.75,18,Closed,Healthy
492,492,492,14400,60,4.5,12,Closed,Healthy
493,493,493,11600,40,4.5,18,Closed,Healthy
494,494,494,11000,50,4.25,12,Closed,Healthy
495,495,495,14000,50,4.25,12,Closed,Healthy
496,496,496,15500,50,4.5,18,Closed,Healthy
497,497,497,0,0,NULL,NULL,,None
498,498,498,0,0,NULL,NULL,,None
499,499,499,9600,40,4.25,12,Closed,Healthy
500,500,500,11200,40,4.25,12,Closed,Healthy
501,501,501,25200,90,6.5,24,Live,Healthy
502,502,502,57600,90,8,42,Live,Healthy
503,503,503,26100,90,6.5,30,Closed,Healthy
504,504,504,14500,50,4.25,12,Closed,Healthy
505,505,505,9600,40,4.25,12,Closed,Healthy
506,506,506,14400,60,4.25,18,Closed,Healthy
507,507,507,12600,60,4.25,12,Closed,Healthy
508,508,508,11600,40,4.25,12,Closed,Healthy
509,509,509,12000,50,4.25,12,Closed,Healthy
510,510,510,12400,40,4.25,12,Closed,Healthy
511,511,511,11600,40,4.25,12,Closed,Healthy
512,512,512,4200,20,4,12,Closed,Healthy
513,513,513,5700,30,4.25,12,Closed,Healthy
514,514,514,15500,50,4.5,12,Closed,Healthy
515,515,515,14000,50,4.25,18,Closed,Healthy
516,516,516,0,0,NULL,NULL,,None
517,517,517,19800,90,6.5,24,Live,Healthy
518,518,518,26100,90,7.75,36,Closed,Healthy
519,519,519,16800,80,7.75,24,Closed,Healthy
520,520,520,17600,80,7.75,24,Closed,Healthy
521,521,521,16800,80,6.75,18,Closed,Healthy
522,522,522,17600,80,6.75,18,Closed,Healthy
523,523,523,19800,90,8,30,,Defaulted
524,524,524,22400,80,8.25,30,Live,Healthy
525,525,525,5700,30,4.5,18,Closed,Healthy
526,526,526,26100,90,9.5,36,,Defaulted
527,527,527,15200,80,7.5,24,Closed,Healthy
528,528,528,13300,70,5.25,18,,Defaulted
529,529,529,17100,90,7.75,24,Closed,Healthy
530,530,530,17100,90,8.75,36,Closed,Healthy
531,531,531,18900,90,8,24,,Defaulted
532,532,532,13300,70,5.25,18,Closed,Healthy
533,533,533,16800,80,7.75,24,Closed,Healthy
534,534,534,19800,90,7,18,,Defaulted
535,535,535,17600,80,6.75,18,Closed,Healthy
536,536,536,17100,90,7.75,30,,Defaulted
537,537,537,19800,90,10,48,,Defaulted
538,538,538,14700,70,4.25,18,Closed,Healthy
539,539,539,20300,70,5.5,24,Closed,Healthy
540,540,540,31500,90,7,24,Closed,Healthy
541,541,541,15400,70,4.5,18,Closed,Healthy
542,542,542,22400,80,6.75,24,Closed,Healthy
543,543,543,19200,80,6.75,24,Closed,Healthy
544,544,544,15400,70,4.5,18,Closed,Healthy
545,545,545,17400,60,4.5,18,Closed,Healthy
546,546,546,12000,50,4.25,12,Closed,Healthy
547,547,547,26100,90,6.5,30,Closed,Healthy
548,548,548,16800,80,5.25,18,Closed,Healthy
549,549,549,19800,90,6.25,30,Live,Healthy
550,550,550,20300,70,5.25,24,Closed,Healthy
551,551,551,26100,90,6.5,24,,Defaulted
552,552,552,24800,80,5.5,18,Closed,Healthy
